State,300+,200-300,150-200,100-150,50-100,0-50,invalid
Jan,7.762557078,12.78538813,12.17656012,11.26331811,22.07001522,33.94216134,0
Feb,0.5899705015,7.96460177,4.572271386,12.38938053,23.00884956,51.47492625,0
Mar,0,1.193633952,2.519893899,16.18037135,30.90185676,49.20424403,0
Apr,0,0,1.307189542,6.318082789,24.61873638,67.75599129,0
May,2.294197031,1.619433198,0,1.889338731,29.4197031,64.77732794,0
Jun,0,0,0,1.659751037,22.95988935,75.38035961,0
Jul,0,0,0,1.984126984,39.02116402,58.99470899,0
Aug,0,0,0,0.8163265306,19.59183673,79.59183673,0
Sep,0,0,0.2941176471,8.676470588,34.11764706,56.91176471,0
Oct,0,0,5.097451274,8.245877061,29.53523238,57.12143928,0
Nov,0,0,1.50273224,9.972677596,25.95628415,62.56830601,0
Dec,0,0.4,5.466666667,6.266666667,20.4,67.46666667,0